Entity,Code,Year,Carbon intensity of electricity - gCO2/kWh,time
Afghanistan,,,132.53012,2022
Albania,,,24.285715,2022
Algeria,,,634.611,2022
Angola,,,174.73436,2022
Antigua and Barbuda,,,611.1111,2022
Argentina,ARG,2023,354.10287,2023
Armenia,,,264.53815,2022
Australia,AUS,2023,548.69226,2023
Austria,AUT,2023,110.81243,2023
Azerbaijan,,,671.38904,2022
Bahamas,,,660.0986,2022
Bahrain,,,904.6145,2022
Bangladesh,BGD,2023,691.4112,2023
Barbados,,,605.5046,2022
Belarus,,,441.74,2022
Belgium,BEL,2023,138.1068,2023
Belize,,,225.80646,2022
Benin,,,584.0708,2022
Bhutan,,,23.333334,2022
Bolivia,BOL,2023,531.68726,2023
Bosnia and Herzegovina,BIH,2023,600.00006,2023
Botswana,,,847.9087,2022
Brazil,BRA,2023,98.34824,2023
Brunei,,,893.913,2022
Bulgaria,BGR,2023,335.3338,2023
Burkina Faso,,,467.5325,2022
Burundi,,,250.00002,2022
Cambodia,,,417.70712,2022
Cameroon,,,305.4187,2022
Canada,CAN,2023,170.04251,2023
Cape Verde,,,558.1395,2022
Central African Republic,,,0,2022
Chad,,,628.5714,2022
Chile,CHL,2023,291.1135,2023
China,CHN,2023,582.31696,2023
Colombia,COL,2023,259.51117,2023
Comoros,,,642.8572,2022
Congo,,,700,2022
Costa Rica,CRI,2023,53.377815,2023
Cote d'Ivoire,,,393.8849,2022
Croatia,HRV,2023,204.96161,2023
Cuba,,,637.6096,2022
Cyprus,CYP,2023,534.3229,2023
Czechia,CZE,2023,449.72433,2023
Democratic Republic of Congo,,,24.456524,2022
Denmark,DNK,2023,151.6503,2023
Djibouti,,,692.3078,2022
Dominica,,,529.4118,2022
Dominican Republic,,,580.7799,2022
East Timor,,,666.6667,2022
Ecuador,ECU,2023,150.22354,2023
Egypt,EGY,2023,570.30554,2023
El Salvador,SLV,2023,271.46817,2023
Equatorial Guinea,,,591.83673,2022
Eritrea,,,631.5789,2022
Estonia,EST,2023,416.6667,2023
Eswatini,,,172.41379,2022
Ethiopia,,,24.643318,2022
Fiji,,,288.46158,2022
Finland,FIN,2023,79.158325,2023
France,FRA,2023,56.03859,2023
French Guiana,,,217.82178,2021
Gabon,,,491.59662,2022
Gambia,,,666.6667,2022
Georgia,GEO,2023,167.59389,2023
Germany,DEU,2023,380.95047,2023
Ghana,,,484.00003,2022
Greece,GRC,2023,336.57352,2023
Greenland,,,178.57143,2022
Grenada,,,640,2022
Guatemala,,,328.26752,2022
Guinea,,,236.84212,2022
Guinea-Bissau,,,625,2022
Guyana,,,640.3509,2022
Haiti,,,567.3077,2022
Honduras,,,282.26477,2022
Hungary,HUN,2023,204.18994,2023
Iceland,,,27.679918,2022
India,IND,2023,713.4407,2023
Indonesia,,,675.9309,2022
Iran,IRN,2023,655.12494,2023
Iraq,,,688.81396,2022
Ireland,IRL,2023,290.805,2023
Israel,,,582.9271,2022
Italy,ITA,2023,330.71823,2023
Jamaica,,,555.55554,2022
Japan,JPN,2023,485.39236,2023
Jordan,,,540.92365,2022
Kazakhstan,KAZ,2023,821.3909,2023
Kenya,KEN,2023,70.491806,2023
Kiribati,,,666.6667,2022
Kosovo,OWID_KOS,2023,894.6541,2023
Kuwait,KWT,2023,649.1634,2023
Kyrgyzstan,,,147.2924,2022
Laos,,,265.50595,2022
Latvia,LVA,2023,123.2,2023
Lebanon,,,599.005,2022
Lesotho,,,20,2022
Liberia,,,227.84811,2022
Libya,,,818.6922,2022
Lithuania,LTU,2023,160.07195,2023
Luxembourg,LUX,2023,105.26315,2023
Madagascar,,,436.44064,2022
Malawi,,,66.66667,2022
Malaysia,,,605.83136,2022
Maldives,,,611.7647,2022
Mali,,,407.99997,2022
Malta,MLT,2023,459.14395,2023
Mauritania,,,464.7059,2022
Mauritius,,,632.47864,2022
Mexico,MEX,2023,507.24512,2023
Moldova,MDA,2023,643.4635,2023
Mongolia,MNG,2023,775.30865,2023
Montenegro,MNE,2023,417.07318,2023
Morocco,MAR,2023,630.01416,2023
Mozambique,,,135.64668,2022
Myanmar,MMR,2023,398.89804,2023
Namibia,,,59.25926,2022
Nauru,,,750,2022
Nepal,,,24.43992,2022
Netherlands,NLD,2023,267.62177,2023
New Caledonia,,,660.5839,2022
New Zealand,NZL,2023,112.75831,2023
Nicaragua,,,265.11627,2022
Niger,,,670.88605,2022
Nigeria,NGA,2023,523.24725,2023
North Korea,,,389.58707,2022
North Macedonia,MKD,2023,565.3451,2023
Norway,NOR,2023,30.080084,2023
Oman,OMN,2023,564.63495,2023
Pakistan,PAK,2023,440.6085,2023
Palestine,,,516.129,2022
Panama,,,161.67665,2022
Papua New Guinea,,,507.24634,2022
Paraguay,PRY,2023,23.75506,2023
Peru,PER,2023,266.47754,2023
Philippines,PHL,2023,610.68835,2023
Poland,POL,2023,661.92584,2023
Portugal,PRT,2023,165.55257,2023
Puerto Rico,,,678.7377,2022
Qatar,QAT,2023,602.5005,2023
Romania,ROU,2023,240.58281,2023
Russia,RUS,2023,441.03885,2023
Rwanda,,,316.32654,2022
Saint Kitts and Nevis,,,636.36365,2022
Saint Lucia,,,666.6666,2022
Saint Vincent and the Grenadines,,,529.4118,2022
Samoa,,,473.68423,2022
Sao Tome and Principe,,,642.8572,2022
Saudi Arabia,,,706.7905,2022
Senegal,,,511.59793,2022
Serbia,SRB,2023,636.06226,2023
Seychelles,,,564.5161,2022
Sierra Leone,,,50,2022
Singapore,SGP,2023,470.7832,2023
Slovakia,SVK,2023,116.773544,2023
Slovenia,SVN,2023,231.27463,2023
Solomon Islands,,,700,2022
Somalia,,,578.9473,2022
South Africa,ZAF,2023,707.6856,2023
South Korea,KOR,2023,430.56708,2023
South Sudan,,,629.0322,2022
Spain,ESP,2023,174.05005,2023
Sri Lanka,,,509.78134,2022
Sudan,,,263.15787,2022
Suriname,,,349.28232,2022
Sweden,SWE,2023,40.694878,2023
Switzerland,CHE,2023,34.842716,2023
Syria,,,701.6607,2022
Taiwan,TWN,2023,642.3775,2023
Tajikistan,,,116.85825,2022
Tanzania,,,339.2461,2022
Thailand,THA,2023,549.5827,2023
Togo,,,443.1818,2022
Tonga,,,625,2022
Trinidad and Tobago,,,681.5286,2022
Tunisia,TUN,2023,563.95624,2023
Turkey,TUR,2023,464.5861,2023
Turkmenistan,,,1306.0251,2022
Uganda,,,44.526905,2022
Ukraine,,,259.69302,2022
United Arab Emirates,,,561.1348,2022
United Kingdom,GBR,2023,237.58902,2023
United States,USA,2023,369.47318,2023
Uruguay,URY,2023,128.78789,2023
Uzbekistan,,,1167.6029,2022
Vanuatu,,,571.4286,2022
Venezuela,,,185.80202,2022
Vietnam,VNM,2023,475.44873,2023
Western Sahara,,,,2023
Yemen,,,566.1016,2022
Zambia,,,111.96713,2022
Zimbabwe,,,297.87234,2022